F,M,name,odds
3590,22,Yolanda,0.006090808416389812
3569,10,Sabrina,0.002794076557697681
3549,11,Amanda,0.003089887640449438
3533,9,Kristine,0.002540937323546019
3491,21,Veronica,0.005979498861047836
3483,263,Erin,0.07020822210357715
3440,18,Anne,0.005205320994794679
3403,33,Terri,0.00960419091967404
3375,28,Danielle,0.008228034087569792
3331,13,Kelli,0.00388755980861244
3328,13,Colleen,0.0038910505836575876
3325,32,Connie,0.009532320524277629
3316,12,Alicia,0.003605769230769231
3264,381,Lynn,0.10452674897119342
3200,2641,Jamie,0.45214860469097756
3180,19,Julia,0.005939356048765239
3165,12,Sherri,0.003777148253068933
3148,7,Kristi,0.0022187004754358162
3134,5,Tricia,0.0015928639694170119
3126,15,Kristina,0.004775549188156638
3060,12,Sara,0.00390625
2893,13,Anita,0.004473503097040606
2890,9,Annette,0.003104518799586064
2792,13,Erica,0.004634581105169341
2746,16,Bonnie,0.005792903692976104
2740,15,Sonya,0.0054446460980036296
2718,8,Wanda,0.00293470286133529
2629,27,Allison,0.01016566265060241
2603,7,Vicki,0.0026819923371647508
2602,6,Cassandra,0.0023006134969325155
2589,7,Krista,0.002696456086286595
2586,11,Cathy,0.004235656526761648
2580,5,Vanessa,0.0019342359767891683
2540,10,Felicia,0.00392156862745098
2400,12,Sheri,0.004975124378109453
2373,8,Yvonne,0.0033599328013439733
2372,8,Natalie,0.0033613445378151263
2368,14,Martha,0.005877413937867338
2352,29,Shelley,0.012179756404871903
2333,14,Janice,0.005965061780997018
2328,12,Virginia,0.005128205128205128
2327,23,Tracie,0.00978723404255319
2323,8,Debbie,0.003432003432003432
2302,9,Samantha,0.0038944180008654264
2249,12,Beverly,0.005307386112339673
2217,0,Katrina,0
2202,127,Carmen,0.05452984113353371
2201,1501,Jody,0.40545650999459754
2187,21,Marie,0.009510869565217392
2176,11,Darlene,0.005029721079103796
2165,30,Toni,0.01366742596810934
2146,13,Penny,0.006021306160259379
2130,9,Kellie,0.004207573632538569
2110,273,Jean,0.11456147712966848
2098,13,Monique,0.006158218853623875
2071,0,Becky,0
2050,5,Yvette,0.0024330900243309003
2039,16,Gloria,0.007785888077858881
2031,13,Joyce,0.006360078277886497
2020,12,Stacie,0.005905511811023622
1992,6,Charlotte,0.003003003003003003
1983,7,Charlene,0.0035175879396984926
1971,10952,Shawn,0.8474812350073513
1967,8,Betty,0.004050632911392405
1952,10,Joanne,0.0050968399592252805
1942,6,Erika,0.003080082135523614
1933,5,Trina,0.0025799793601651187
1931,6,Emily,0.003097573567372225
1900,12,Peggy,0.006276150627615063
1882,14,Tammie,0.007383966244725738
1834,969,Kerry,0.3457010346057795
1828,15,Judy,0.008138903960933261
1819,11,Ruth,0.006010928961748634
1816,6,Bridget,0.003293084522502744
1802,5,Dorothy,0.002767017155506364
1793,0,Maureen,0
1792,0,Kristie,0
1779,16,Rose,0.008913649025069638
1775,16,Joy,0.00893355667225014
1770,7,Kimberley,0.0039392234102419805
1768,10,Sonia,0.00562429696287964
1765,8,Alison,0.0045121263395375075
1758,0,Ellen,0
1727,10,Sylvia,0.0057570523891767415
1723,8,Jeanette,0.00462160600808781
1714,9,Helen,0.00522344747533372
1672,9,Leah,0.005353955978584176
1669,14,Judith,0.008318478906714201
1667,23,Kari,0.013609467455621301
1646,7,Vickie,0.004234724742891712
1633,5,Karla,0.0030525030525030525
1632,0,Kristy,0
1629,19,Shirley,0.011529126213592233
1628,17,Frances,0.01033434650455927
1620,0,Alice,0
1620,0,Belinda,0
1599,0,Jane,0
1587,11,Rita,0.00688360450563204
1583,7,Jeanne,0.00440251572327044
1556,11,Joann,0.007019783024888321
1556,8,Tami,0.005115089514066497
1546,10,Dina,0.006426735218508998
1540,0,Dena,0
1502,8,Kara,0.005298013245033113
1500,8,Shawna,0.005305039787798408
1499,19,Robyn,0.012516469038208168
1498,132,Kelley,0.08098159509202454
1484,87,Leigh,0.05537873965626989
1471,0,Sheryl,0
1468,8,Raquel,0.005420054200542005
1466,9,Evelyn,0.006101694915254237
1439,9,Elaine,0.006215469613259668
1433,17,Norma,0.011724137931034483
1428,0,Tonia,0
1426,0,Candace,0
1426,24,Gail,0.016551724137931035
1422,14,Rosa,0.009749303621169917
1416,15,Kerri,0.010482180293501049
1411,7,Jenny,0.004936530324400564
1384,7,Marsha,0.0050323508267433505
1381,0,Ginger,0
1376,0,Aimee,0
1375,16,Roberta,0.011502516175413372
1374,0,Caroline,0
1371,753,Jackie,0.3545197740112994
1367,5,Loretta,0.0036443148688046646
1364,0,Deana,0
1356,21,Meredith,0.015250544662309368
1356,7,Ronda,0.005135730007336757
1332,5,Lara,0.0037397157816005983
1329,5,Joanna,0.0037481259370314842
1314,42,Lauren,0.030973451327433628
1312,14,Christie,0.010558069381598794
1310,0,Sonja,0
1309,17,Audrey,0.01282051282051282
1308,15,Joan,0.011337868480725623
1296,5,Angie,0.003843197540353574
1290,0,Amber,0
1285,5,Marcia,0.003875968992248062
1282,0,Eileen,0
1268,0,Megan,0
1262,7,Juanita,0.005516154452324665
1255,6,Marilyn,0.004758128469468675
1250,9,Sally,0.007148530579825258
1245,5,Gretchen,0.004
1245,125,Sandy,0.09124087591240876
1224,16,Claudia,0.012903225806451613
1221,6,Gwendolyn,0.004889975550122249
1219,115,Bobbie,0.08620689655172414
1213,0,Christa,0
1202,0,Lora,0
1200,6,Shari,0.004975124378109453
1193,0,Molly,0
1192,5,Shelia,0.004177109440267335
1180,0,Cheri,0
1180,0,Rochelle,0
1177,6,Melody,0.00507185122569738
1160,0,Lorraine,0
1158,5,Lynette,0.004299226139294927
1154,0,Alisa,0
1152,0,Kendra,0
1151,0,Misty,0
1148,5,Staci,0.004336513443191674
1113,6190,Terry,0.8475968779953443
1108,1037,Angel,0.48344988344988343
1104,152,Billie,0.12101910828025478
1101,27,Jo,0.023936170212765957
1090,5,Marla,0.0045662100456621
1075,6,Teri,0.005550416281221091
1068,5,Irene,0.004659832246039142
1068,0,Stefanie,0
1053,52,Jodie,0.047058823529411764
1050,0,Karin,0
1050,10,Tabitha,0.009433962264150943
1047,0,Janine,0
1046,11,Ana,0.010406811731315043
1044,0,Candy,0
1042,0,Nichole,0
1034,12,Kirsten,0.011472275334608031
1025,5,Jana,0.0048543689320388345
1024,0,Candice,0
1024,0,Eva,0
1020,0,Antoinette,0
1010,5,Roxanne,0.0049261083743842365
1002,0,Adrienne,0
1002,0,Cherie,0
999,0,Dianna,0
993,0,Shana,0
988,0,Rachelle,0
987,7,Hope,0.007042253521126761
976,0,Dianne,0
973,6,Leticia,0.006128702757916241
970,2796,Lee,0.7424322889006904
965,5,Darla,0.005154639175257732
950,6,Jacquelyn,0.006276150627615063
941,0,Angelique,0
941,0,Latonya,0
938,0,Trisha,0
932,7,Priscilla,0.007454739084132056
931,253,Ashley,0.21368243243243243
925,0,Sherrie,0
923,5,Lydia,0.005387931034482759
920,0,Angelia,0
915,5,Ramona,0.005434782608695652
913,35,Patrice,0.03691983122362869
896,12,Marisol,0.013215859030837005
893,0,Glenda,0
886,0,Rachael,0
878,0,Christi,0
863,5,Doris,0.00576036866359447
861,6,Marlene,0.006920415224913495
860,0,Audra,0
853,0,Tammi,0
849,0,Lynda,0
844,0,Wendi,0
835,15,Dionne,0.01764705882352941
833,7,Lorie,0.008333333333333333
829,6,Jeannie,0.00718562874251497
829,7,Vicky,0.008373205741626795
826,0,Nina,0
822,0,Camille,0
806,0,Paulette,0
805,0,Constance,0
802,7,Keri,0.00865265760197775
801,5,Jeanine,0.00620347394540943
796,0,Rosemary,0
790,0,Bobbi,0
787,5,Desiree,0.006313131313131313
783,210,Courtney,0.21148036253776434
782,5,Lillian,0.0063532401524777635
780,0,Lana,0
778,0,Shauna,0
778,12,Vivian,0.015189873417721518
776,0,Bernadette,0
776,0,Grace,0
769,75,Lesley,0.08886255924170616
766,0,Phyllis,0
762,25,Paige,0.03176620076238882
759,60,Brooke,0.07326007326007326
759,0,Shanna,0
743,8,Marcy,0.010652463382157125
737,0,Jenifer,0
726,0,Esther,0
717,0,Arlene,0
717,0,Cara,0
717,0,Natasha,0
715,0,Jeannette,0
708,0,Doreen,0
706,0,Mindy,0
703,0,Katie,0
702,6,Bethany,0.00847457627118644
695,0,Chandra,0
695,9,Ruby,0.01278409090909091
685,5,Elisa,0.007246376811594203
684,0,Daphne,0
682,80,Darcy,0.10498687664041995
682,0,Leanne,0
678,0,Marianne,0
675,0,Brandi,0
675,0,Josephine,0
674,0,Nora,0
663,0,Lynne,0
663,0,Sue,0
658,12,Nikki,0.01791044776119403
655,0,Miriam,0
645,0,Marci,0
643,8,Iris,0.01228878648233487
642,0,Annmarie,0
640,5,Serena,0.007751937984496124
636,0,Cathleen,0
635,0,Marjorie,0
632,0,Pauline,0
631,0,Bridgette,0
630,0,Mona,0
629,5,Alexandra,0.007886435331230283
624,0,Lucinda,0
621,6,Laurel,0.009569377990430622
620,0,Cecilia,0
613,5,Ericka,0.008090614886731391
611,57,Brandy,0.08532934131736528
609,0,Jeannine,0
607,0,Janelle,0
604,0,Francine,0
602,0,Anissa,0
601,0,Jennie,0
599,6,Edith,0.009917355371900827
599,0,Nadine,0
598,5,Deanne,0.008291873963515755
594,0,Celeste,0
594,0,Patty,0
594,0,Tasha,0
593,0,Deena,0
593,7,Lea,0.011666666666666667
593,42,Marlo,0.06614173228346457
589,6,Angelica,0.010084033613445379
585,0,Tabatha,0
582,0,Sophia,0
579,0,Leann,0
576,0,Kimberlee,0
567,0,Cristina,0
565,11,June,0.019097222222222224
564,10,Dolores,0.017421602787456445
558,0,Lorrie,0
557,0,Susanne,0
555,0,Melisa,0
555,0,Naomi,0
550,36,Jami,0.06143344709897611
548,8,Faith,0.014388489208633094
548,869,Rene,0.6132674664784756
546,0,Ladonna,0
542,0,Louise,0
539,0,Patti,0
535,17,Gayle,0.030797101449275364
533,12,Alma,0.022018348623853212
533,0,Dora,0
529,0,Angelina,0
527,0,Emma,0
524,0,Tamra,0
523,0,Deirdre,0
523,0,Ingrid,0
518,9,Lois,0.017077798861480076
517,0,Geraldine,0
517,7,Lorena,0.013358778625954198
514,0,Marcie,0
511,0,Marcella,0
511,0,Tania,0
510,0,Shonda,0
508,0,Maryann,0
507,0,Georgia,0
507,0,Lena,0
505,0,Deidre,0
505,0,Elena,0
504,0,Lucy,0
501,0,Sondra,0
499,0,Annie,0
499,6,Margarita,0.011881188118811881
498,163,Jan,0.24659606656580937
496,0,Suzette,0
494,34,Lashawn,0.06439393939393939
492,0,Amelia,0
492,0,Betsy,0
491,0,Keisha,0
491,5,Maribel,0.010080645161290322
489,0,Irma,0
487,0,Mia,0
486,0,Rosemarie,0
485,248,Guadalupe,0.3383356070941337
482,0,Bridgett,0
482,7,Mildred,0.014314928425357873
477,8,Kay,0.016494845360824743
476,6,Janie,0.012448132780082987
471,0,Jeri,0
461,0,Karyn,0
458,0,Adriana,0
458,4465,Chris,0.9069672963640056
457,85321,Michael,0.9946722935950943
455,0,Myra,0
454,0,Malinda,0
451,0,Lynnette,0
451,0,Tonja,0
446,0,Edna,0
444,0,Alyssa,0
443,0,Claudine,0
441,0,Delores,0
437,418,Kris,0.4888888888888889
435,0,Janette,0
432,0,Marnie,0
430,0,Cari,0
430,0,Latanya,0
426,9,Luz,0.020689655172413793
425,0,Elisabeth,0
425,0,Noelle,0
424,0,Beatrice,0
423,0,Carole,0
423,0,Shellie,0
420,0,Alisha,0
417,18,Isabel,0.041379310344827586
416,0,Julianne,0
414,0,Jocelyn,0
412,0,Johanna,0
412,0,Valarie,0
410,324,Carey,0.44141689373297005
410,7,Justine,0.016786570743405275
409,0,Amie,0
409,0,Katharine,0
409,0,Liza,0
408,0,Danette,0
408,0,Tamera,0
407,0,Deann,0
405,10,Terrie,0.024096385542168676
401,0,Gena,0
400,0,Rena,0
400,159,Shelby,0.2844364937388193
399,0,Tisha,0
398,0,Marisa,0
395,0,Colette,0
394,0,Debora,0
394,0,Gabrielle,0
394,0,Lauri,0
393,0,Juliet,0
393,0,Margie,0
389,0,Olga,0
386,0,Janel,0
386,0,Renae,0
385,0,Ida,0
385,10,Jerri,0.02531645569620253
384,0,Jolene,0
383,304,Marion,0.44250363901018924
383,0,Tia,0
382,0,Marian,0
382,0,Meghan,0
376,8,Bernice,0.020833333333333332
376,0,Kerrie,0
375,0,Rebekah,0
367,0,Rosalind,0
366,0,Bertha,0
366,0,Eleanor,0
366,0,Vera,0
364,0,Blanca,0
364,5,Gladys,0.013550135501355014
362,0,Abigail,0
361,0,Caryn,0
358,0,Alissa,0
358,0,Allyson,0
357,0,Celia,0
357,0,Clara,0
356,124,Alexis,0.25833333333333336
355,6,Gwen,0.01662049861495845
355,25,Hilary,0.06578947368421052
355,0,Susie,0
354,61775,James,0.9943021777269874
354,0,Trudy,0
353,0,Madeline,0
351,0,Lesa,0
351,0,Olivia,0
351,80,Whitney,0.18561484918793503
350,0,Lawanda,0
346,0,Stella,0
345,0,Claire,0
344,0,Greta,0
344,5,Joni,0.014326647564469915
342,0,Charity,0
340,0,Nanette,0
339,0,Corinne,0
338,0,Krystal,0
337,0,Eugenia,0
336,0,Karrie,0
336,67,Kenya,0.1662531017369727
335,729,Jessie,0.6851503759398496
335,0,Ursula,0
333,0,Elise,0
332,12,Randi,0.03488372093023256
331,0,Florence,0
329,0,Cassie,0
328,57213,Robert,0.9942997167237274
327,5,Delia,0.015060240963855422
327,0,Pam,0
325,0,Marta,0
324,0,Ella,0
323,0,Clarissa,0
322,0,Bonita,0
322,12,Patsy,0.03592814371257485
321,0,Shelli,0
320,0,Maritza,0
318,6,Hollie,0.018518518518518517
315,0,Penelope,0
313,47,Dee,0.13055555555555556
313,0,Felecia,0
310,0,Sandi,0
309,0,Cecelia,0
308,0,Daisy,0
308,0,Genevieve,0
308,0,Tamela,0
308,6,Tyra,0.01910828025477707
307,70,Antonia,0.1856763925729443
305,0,Stacia,0
304,0,Therese,0
301,0,Latonia,0
299,0,Hilda,0
299,0,Jeanna,0
299,0,Joelle,0
299,0,Leeann,0
298,0,Elsa,0
298,0,Lourdes,0
298,0,Selena,0
297,0,Geneva,0
297,0,Josette,0
297,0,Polly,0
296,0,Kate,0
296,0,Silvia,0
295,0,Larissa,0
294,0,Demetria,0
293,0,Marina,0
291,0,Della,0
291,0,Tamatha,0
290,58540,John,0.9950705422403535
290,0,Juli,0
290,0,Misti,0
289,61776,David,0.995343591396117
287,0,Dayna,0
286,0,Benita,0
286,0,Mara,0
286,0,Margo,0
285,0,Leona,0
285,89,Shanon,0.23796791443850268
284,0,Corina,0
283,22,Shannan,0.07213114754098361
283,0,Vonda,0
282,0,Buffy,0
282,0,Rae,0
279,8,Dara,0.027874564459930314
278,0,Annemarie,0
277,0,Catrina,0
277,0,Terra,0
275,19,Michell,0.06462585034013606
274,0,Janell,0
274,0,Shanda,0
273,0,Anjanette,0
273,0,Thelma,0
272,0,Deidra,0
272,0,Janeen,0
271,0,Maura,0
270,0,Jeanie,0
267,0,Missy,0
265,0,Malissa,0
263,0,Marissa,0
262,0,Maxine,0
261,0,Valencia,0
260,0,Janna,0
259,0,Elissa,0
259,0,Georgina,0
259,12,Simone,0.04428044280442804
259,0,Tamika,0
258,0,Aretha,0
258,11,Hillary,0.040892193308550186
257,0,Denice,0
257,0,Mitzi,0
257,0,Richelle,0
256,0,Saundra,0
255,0,Charmaine,0
255,29,Ivy,0.10211267605633803
255,0,Rosie,0
255,5,Sharron,0.019230769230769232
253,0,Coleen,0
252,0,Lucia,0
250,0,Alana,0
250,0,Casandra,0
250,0,Chanda,0
249,0,Tawnya,0
248,0,Candi,0
247,0,Gabriela,0
247,0,Letitia,0
247,0,Vikki,0
245,0,Susana,0
244,898,Casey,0.7863397548161121
244,0,Latrice,0
243,0,Janis,0
241,0,Eve,0
241,0,Holli,0
239,0,Ada,0
239,22,Robbin,0.0842911877394636
238,0,Cristy,0
238,0,Lenora,0
237,0,Martina,0
237,0,Rosalinda,0
237,0,Rosalyn,0
236,0,Aileen,0
236,0,Lucille,0
236,0,Trena,0
235,0,Anastasia,0
235,0,Danita,0
234,0,Cora,0
234,0,Darci,0
234,5,Hazel,0.02092050209205021
234,0,Lorna,0
234,0,Mandy,0
233,0,Leanna,0
232,0,Chrystal,0
231,0,Janene,0
231,0,Jeana,0
231,0,Tawana,0
230,0,Alyson,0
229,5,Danna,0.021367521367521368
227,0,Gayla,0
227,0,Graciela,0
226,0,Chelsea,0
226,0,Ethel,0
226,0,Lorri,0
226,0,Mari,0
226,0,Mechelle,0
225,0,Ami,0
225,0,Ivette,0
225,672,Robbie,0.7491638795986622
224,0,Corinna,0
224,0,Johnna,0
224,0,Lisette,0
222,0,Kisha,0
222,0,Latricia,0
221,0,Esmeralda,0
221,0,Marni,0
220,934,Jaime,0.8093587521663779
220,0,Windy,0
218,41793,Christopher,0.9948108828640118
218,0,Lissette,0
218,0,Lolita,0
217,0,Evette,0
217,0,Miranda,0
216,0,Nicolle,0
216,0,Shiela,0
216,0,Susanna,0
215,1296,Adrian,0.8577101257445401
215,0,Beatriz,0
213,0,Carolina,0
210,0,Charla,0
210,0,Lashonda,0
209,0,Latasha,0
209,0,Tana,0
208,0,Sheree,0
207,0,Renita,0
207,0,Sharlene,0
205,0,Antionette,0
205,0,Nichelle,0
204,0,Cindi,0
204,0,Faye,0
204,38913,William,0.9947848761408083
203,0,Alecia,0
202,0,Darcie,0
202,0,Lillie,0
202,0,Wilma,0
201,0,Autumn,0
201,0,Helena,0
200,0,Athena,0
200,0,Barbra,0
200,0,Mercedes,0
200,676,Noel,0.771689497716895
200,0,Pamala,0
199,0,Latisha,0
199,0,Tiffani,0
198,1141,Joey,0.8521284540702017
198,0,Kandi,0
198,0,Kathie,0
197,0,Cathryn,0
197,0,Claudette,0
197,0,Karie,0
197,0,Kristal,0
197,0,Sharla,0
196,0,Adrianne,0
196,0,Christal,0
196,0,Mollie,0
195,2627,Christian,0.9309000708717222
195,0,Dawna,0
195,7,Verna,0.034653465346534656
193,0,Angeline,0
193,0,Roxann,0
192,0,India,0
192,0,Racquel,0
191,0,Eunice,0
191,0,Tera,0
190,0,Mellissa,0
189,0,Brigitte,0
189,5,Jayne,0.02577319587628866
188,0,Roslyn,0
188,0,Venus,0
187,0,Marguerite,0
186,0,Tressa,0
185,9,Tori,0.04639175257731959
184,0,Chantel,0
184,765,Johnnie,0.8061116965226555
184,0,Rosanna,0
183,0,Charisse,0
183,0,Geri,0
183,0,Teressa,0
182,12,Cori,0.061855670103092786
182,0,Kathrine,0
182,0,Roseann,0
181,0,Juliette,0
181,0,Shonna,0
181,0,Velma,0
180,0,Aida,0
180,0,Rosalie,0
179,0,Tessa,0
178,0,Ernestine,0
178,0,Yolonda,0
177,0,Jolie,0
177,0,Juana,0
177,0,Lucretia,0
177,0,Marybeth,0
177,0,Noreen,0
176,0,Ava,0
176,0,Shani,0
176,0,Valeria,0
175,0,Carin,0
175,0,Carmela,0
175,0,Georgette,0
175,0,Juliana,0
174,0,Tresa,0
173,0,Caren,0
173,0,Hannah,0
173,0,Mayra,0
172,0,Danelle,0
172,0,Dori,0
172,0,Kathi,0
172,0,Lanette,0
172,0,Maggie,0
172,0,Starla,0
171,0,Abby,0
171,5,Andria,0.028409090909090908
170,3003,Dale,0.9464229435865111
170,8,Josie,0.0449438202247191
170,0,Kecia,0
170,0,Maryellen,0
169,0,Delilah,0
169,0,Lola,0
169,0,Loriann,0
168,0,Harriet,0
168,0,Luann,0
167,0,Adriane,0
167,0,Angelita,0
167,0,Toya,0
167,3140,Willie,0.9495010583610524
166,0,Carissa,0
166,598,Frankie,0.7827225130890052
166,0,Gia,0
166,0,Maricela,0
165,0,Katy,0
164,0,Aurora,0
164,0,Jada,0
164,5,Kandy,0.029585798816568046
164,0,Milagros,0
164,0,Noemi,0
164,0,Patrica,0
163,0,Francesca,0
162,0,Araceli,0
162,0,Dedra,0
162,40,Laverne,0.19801980198019803
161,21,Dione,0.11538461538461539
161,0,Nellie,0
161,0,Pearl,0
161,0,Roxanna,0
160,0,Bessie,0
160,0,Dixie,0
160,0,Elsie,0
160,30467,Richard,0.9947758513729715
160,0,Shona,0
159,0,Kayla,0
159,40,Lou,0.20100502512562815
159,0,Myrna,0
158,0,Magdalena,0
158,0,Mattie,0
157,0,Carie,0
157,0,Cherry,0
157,0,Eliza,0
157,0,Milissa,0
156,0,Collette,0
156,0,Corrine,0
156,43,Dominique,0.21608040201005024
156,0,Karri,0
156,0,Lenore,0
155,570,Cary,0.7862068965517242
155,0,Davina,0
155,0,Juliann,0
155,0,Linette,0
154,0,Consuelo,0
154,0,Kirstin,0
153,0,Camilla,0
153,0,Jonna,0
153,0,Lorene,0
153,0,Tangela,0
153,0,Valorie,0
152,0,Monika,0
152,0,Rosetta,0
152,0,Tanja,0
152,0,Viola,0
151,0,Dona,0
151,0,Elvira,0
151,0,Jacquline,0
151,0,Karina,0
151,0,Rosanne,0
150,0,Althea,0
150,0,Carlene,0
150,6,Lavonne,0.038461538461538464
150,0,Marisela,0
150,0,Selina,0
149,22429,Charles,0.9934006555053592
149,0,Estella,0
149,0,Stefani,0
148,31943,Brian,0.9953881150478328
148,0,Carri,0
148,23589,Eric,0.993765008215023
147,3633,Bobby,0.9611111111111111
147,0,Cherise,0
147,72,Jayme,0.3287671232876712
147,0,Kimberlie,0
147,0,Lorinda,0
147,0,Machelle,0
147,0,Treva,0
147,0,Twila,0
146,0,Coretta,0
146,47,Kasey,0.24352331606217617
146,0,Sharonda,0
146,0,Tena,0
145,0,Freda,0
145,0,Kesha,0
145,0,Tawanda,0
144,0,Kimberli,0
144,0,Melonie,0
144,0,Tisa,0
143,21194,Anthony,0.9932980269016263
142,0,Maya,0
142,0,Stephenie,0
141,0,Gerri,0
141,0,Rolanda,0
141,0,Sebrina,0
141,22445,Timothy,0.9937571947223944
140,0,Alberta,0
140,0,Brigette,0
140,0,Deloris,0
140,30155,Jeffrey,0.9953787753754745
140,0,Violet,0
139,0,Angella,0
139,0,Jena,0
139,0,Raina,0
139,0,Tiffanie,0
138,1390,Francis,0.9096858638743456
138,7,Inez,0.04827586206896552
138,26734,Joseph,0.9948645430187556
138,31496,Mark,0.9956376051084277
138,0,Rona,0
138,988,Shaun,0.8774422735346359
138,0,Trista,0
137,29,Christen,0.1746987951807229
137,0,Judi,0
136,0,Crista,0
136,0,Flora,0
136,12,Kristan,0.08108108108108109
135,0,Alexandria,0
135,6,Christin,0.0425531914893617
135,0,Diann,0
135,0,Helene,0
135,0,Kyra,0
135,0,Mindi,0
135,0,Sherie,0
135,0,Suzanna,0
134,0,Carmella,0
134,0,Josefina,0
134,0,Susannah,0
134,0,Tawanna,0
134,7,Zoe,0.04964539007092199
133,5,Lani,0.036231884057971016
133,0,Leisa,0
133,0,Marti,0
133,6,Niki,0.04316546762589928
133,0,Serina,0
133,69,Shay,0.3415841584158416
133,0,Tamiko,0
132,77,Andra,0.3684210526315789
132,0,Cristi,0
132,0,Glenna,0
132,0,Leila,0
132,0,Lela,0
132,26689,Thomas,0.9950784832780284
131,0,Kami,0
131,0,Melodie,0
131,48,Rosario,0.2681564245810056
131,0,Shawnda,0
131,0,Tosha,0
131,0,Zandra,0
130,0,Dorothea,0
130,0,Petra,0
129,0,Christel,0
129,0,Deedee,0
129,26989,Kevin,0.9952430120215355
129,0,Tanisha,0
129,0,Tracee,0
128,0,Dyan,0
128,53,Gale,0.292817679558011
128,0,Lilia,0
128,0,Michaela,0
127,0,Delisa,0
127,39,Elisha,0.23493975903614459
127,0,Minerva,0
127,26823,Steven,0.9952875695732839
126,0,Antonette,0
126,0,Chantelle,0
126,0,Daria,0
126,0,Kimberely,0
126,0,Lily,0
126,0,Marlena,0
126,0,Minnie,0
